"Year","Journal","COUNTRY","Urb.scale","Start.year","End.year","Comparator","birdcomp1","birdcomp2","birdcomp3","birdcomp4","Rec.","Rec.1","Rec.2","Rec.3"
2020,"Urban Ecosystems","France","Multi-patch",2003,2017,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2014,"Urban Ecosystems","Prague","Multi-patch",2007,2008,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2021,"Urban Forestry & Urban Greening","Argentina","Multi-patch",2015,2016,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2012,"Urban Ecosystems","Australia","Multi-patch",2008,2008,"N","Biodiversity",NA,NA,NA,"Yes","Conservation"," Management"," Restoration"
2016,"Urban Forestry & Urban Greening","Tokyo","Patch",2009,2010,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2013,"Ecosystems","New Zealand","Patch",2009,2009,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2018,"Urban Forestry & Urban Greening","Multiple (Czech Republic, Poland, Italy, France)","Multi-city",2014,2014,"Y","Demographics/Patterns"," Breeding"," Biodiversity",NA,"Yes","Management",NA,NA
2015,"Ecology and Evolution","Austria","Patch",2009,2013,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2015,"Urban Ecosystems","USA","Multi-patch",2010,2011,"Y","Biodiversity"," Demographics/Patterns",NA,NA,"No",NA,NA,NA
2013,"Landscape Ecology","Australia","Multi-patch",2010,2010,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2013,"Diversity and Distributions","Australia","Multi-patch",2009,2009,"Y","Biodiversity",NA,NA,NA,"Yes","Conservation"," Management",NA
2008,"Biodiversity & Conservation","USA","Region",2001,2002,"Y","Biodiversity",NA,NA,NA,"Yes","Management"," Restoration",NA
2012,"Urban Ecosystems","USA","Region",2009,2010,"N","Biodiversity"," Breeding",NA,NA,"Yes","Management"," Conservation",NA
2020,"Ecological Applications","USA","Patch",2016,2018,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2011,"Landscape and Urban Planning","Switzerland","Multi-city",2007,2007,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2022,"Journal of Applied Ecology","USA","Patch",2010,2018,NA,"Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2014,"Urban Ecosystems","USA","Region",2006,2010,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2011,"Ecological Applications","USA","Multi-patch",2006,2008,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2008,"Biological Conservation","USA","Multi-patch",2003,2003,"N","Biodiversity",NA,NA,NA,"Yes","Management"," Conservation",NA
2014,"Urban Ecosystems","France","Patch",2005,2006,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2009,"Urban Forestry & Urban Greening","Canada","Multi-patch",2001,2002,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2009,"Urban Ecosystems","USA","Patch",2004,2005,"Y","Biodiversity",NA,NA,NA,"Yes","Conservation"," Restoration",NA
2016,"Pacific Conservation Biology","Australia","Multi-patch",2009,2009,"Y","Behaviour",NA,NA,NA,"Yes","Conservation",NA,NA
2009,"Landscape and Urban Planning","Australia","Multi-patch",2006,2006,"Y","Biodiversity",NA,NA,NA,"Yes","Restoration",NA,NA
2013,"Biological Conservation","France","Multi-patch",2009,2009,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2020,"Urban Ecosystems","USA","Patch",2015,2015,"Y","Biodiversity",NA,NA,NA,"Yes","Conservation"," Management",NA
2018,"Scientific Reports","USA","Multi-patch",2004,2009,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2004,"Conservation Biology","USA","Multi-patch",1998,1998,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2005,"Landscape and Urban Planning","Australia","Multi-patch",2002,2002,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2021,"Journal of Forestry Research","Japan","Patch",2015,2016,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2019,"Sustainability","USA","Patch",NA,NA,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2021,"Applied Ecology and Environmental Research","Turkey","Patch",2019,2019,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2016,"Journal of Ecology","USA","Multi-patch",2013,2014,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2020,"Austral Ornithology","Australia","Multi-patch",2003,2012,"N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA
2017,"Forests","Italy","Region",1992,2016,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2009,"Landscape and Urban Planning","Australia","Multi-patch",2007,2007,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2021,"Avian Research","USA","Multi-patch",2009,2011,"N","Behaviour",NA,NA,NA,"Yes","Conservation"," Management",NA
2006,"Biological Conservation","USA","Multi-patch",2001,2002,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2022,"Urban Forestry & Urban Greening","Czech Republic","Multi-patch",2005,2008,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2015,"Journal of Urban Planning and Development","USA","Multi-patch",2009,2012,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2017,"Ecological Applications","USA","Multi-patch",2013,2014,"Y","Biodiversity",NA,NA,NA,"Yes","Conservation"," Management",NA
2010,"Journal of Biogeography","Sweden","Multi-city",2004,2004,"Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA
2014,"Ecological Applications","USA","Patch",2012,2012,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2011,"Polish Journal of Ecology","Poland","Multi-patch",NA,NA,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2011,"Biological Conservation","Australia","Patch",2008,2008,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2018,"Urban Ecosystems","Italy","Multi-patch",2014,2014,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2013,"Emu-Austral Ornithology","New Zealand","Multi-patch",2009,2010,"Y","Behaviour",NA,NA,NA,"No",NA,NA,NA
2013,"Landscape and Urban Planning","China","Patch",1997,1997,"Y","Biodiversity",NA,NA,NA,"Yes","Management"," Conservation",NA
2018,"Diversity and Distributions","Australia","Multi-patch",2012,2014,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
1981,"Urban Ecology","USA","Multi-patch",1972,1972,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2018,"Journal of Urban Ecology","Canada","Multi-patch",2011,2017,"Y","Behaviour",NA,NA,NA,"Yes","Conservation",NA,NA
2006,"Urban Ecosystems","Australia","Patch",2003,2003,"Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA
2015,"Australian Zoologist","Australia","Region",1952,NA,"Y","Demographics/Patterns",NA,NA,NA,"No",NA,NA,NA
2017,"Journal of Urban Ecology","Austria","Patch",2005,2015,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2013,"Journal of Natural History","USA","Multi-patch",2010,2010,"N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA
2014,"Revista Catalana d'Ornitologia","Spain","Patch",1998,2013,"N","Demographics/Patterns"," Biodiversity",NA,NA,"Yes","Management",NA,NA
1989,"Australian Journal of Ecology","Australia","Multi-patch",1982,1983,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
2018,"Environmental Science","Romania","Patch",2015,2016,"N","Biodiversity"," Resources",NA,NA,"Yes","Management",NA,NA
2021,"Environment Canada","Canada","Multi-patch",NA,NA,"N","Breeding",NA,NA,NA,"Yes","Management",NA,NA
2020,"Upper Mississippi/Great Lakes Joint Venture","United States","Region",NA,NA,"N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
1982,"The Condor","United States","Patch",1976,1976,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA
2013,"British Trust for Ornithology","Poland","Multi-patch",1986,2012,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA
